Globally_unique_identifier,Object_Key,Object_Name,Object_Definition,Object_Status,Information_Requirements,Note,IFC_Entity,IFC_Predefined_Type,IFC_Schema_Version,OmniClass_Table,OmniClass_Code,OmniClass_Edition,AASHTOWare_Pay_Item,Schema_Version
53F753DE-7A95-4F08-BEAC-7E078D818C5A,urn:caltrans:obj:underground_utility_systems,Underground Utility Systems,"Regulated subsurface utilities within state highway rights-of-way, which are any below-ground lines or structures that provide services like water, gas, electricity, telecommunications, fiber optic, sewer, or oil. Includes all utility types and their associated components such as pipes, conduits, manholes, and access points.",Draft,Underground Utility - General,,IfcDistributionSystem,NOTDEFINED,IFC4x3_ADD2,N/A,N/A,2013-02-01,TBD,1
DC3B1CE6-C6AE-4D34-9169-16FB4097E954,urn:caltrans:obj:electric_utility,Electric Utility,"Electric power distribution utilities including high voltage transmission lines, medium voltage distribution lines, and low voltage service connections. Includes conductors, conduits, cables, transformers, and associated equipment for electrical power delivery.",Draft,"Underground Utility - Conduit (Telecom, Fiber, and Electric)",,IfcDistributionSystem,ELECTRICAL,IFC4x3_ADD2,Table_11,11-42 27 39,2013-02-02,TBD,1
71BA4DEA-5806-4E16-BFCB-3044F47DD216,urn:caltrans:obj:water_utility,Water Utility,"Potable water distribution utilities including water mains, service lines, and transmission pipes. Includes pipes, valves, hydrants, meters, and associated equipment for water supply and distribution systems.",Draft,EIR-Elements/Underground Utility Systems,,IfcDistributionSystem,WATERSUPPLY,IFC4x3_ADD2,Table_11,11-41 21 11,2013-02-03,TBD,1
E86155EE-6C08-4734-828C-7774A5394B8F,urn:caltrans:obj:irrigation_utility,Irrigation Utility,"Non-potable irrigation water distribution utilities including irrigation mains, service lines, and transmission pipes. Includes pipes, valves, meters, and associated equipment for irrigation water supply and distribution systems within state highway rights-of-way.",Draft,EIR-Elements/Underground Utility Systems,,IfcDistributionSystem,USERDEFINED,IFC4x3_ADD2,Table_11,11-41 21 21,2013-02-04,TBD,1
E5714121-E1CF-41CB-BED9-EE90158831CF,urn:caltrans:obj:gas_utility,Gas Utility,"Natural gas distribution utilities including high-pressure transmission lines, medium-pressure distribution mains, and low-pressure service lines. Includes pipes, valves, regulators, meters, and associated equipment for gas delivery systems.",Draft,EIR-Elements/Underground Utility Systems,,IfcDistributionSystem,GAS,IFC4x3_ADD2,Table_11,11-42 38 27,2013-02-05,TBD,1
F7013A57-6B6A-4D25-9749-745C9E6D631F,urn:caltrans:obj:sewer_utility,Sewer Utility,"Wastewater collection and conveyance utilities including gravity sewers, force mains, and pressure sewers. Includes pipes, manholes, pump stations, cleanouts, and associated equipment for wastewater collection and conveyance systems.",Draft,EIR-Elements/Underground Utility Systems,,IfcDistributionSystem,SEWAGE,IFC4x3_ADD2,Table_11,11-41 21 17,2013-02-06,TBD,1
A83BF0C6-8326-4AC7-B318-853A2DC48905,urn:caltrans:obj:fiber_optic_utility,Fiber Optic Utility,"Fiber optic communication utilities including single-mode and multi-mode fiber cables for high-speed data transmission. Includes fiber strands, conduits, splice enclosures, and associated equipment for telecommunications and data networks.",Draft,"Underground Utility - Conduit (Telecom, Fiber, and Electric)",,IfcDistributionSystem,DATA,IFC4x3_ADD2,Table_11,11-44 21,2013-02-07,TBD,1
B3293D2D-2A38-4873-98C2-DB2B185483A6,urn:caltrans:obj:telecommunications_utility,Telecommunications Utility,"Telecommunications utilities including copper telephone lines, coaxial cables, and other communication systems. Includes cables, conduits, junction boxes, pedestals, and associated equipment for voice and data communication services.",Draft,"Underground Utility - Conduit (Telecom, Fiber, and Electric)",,IfcDistributionSystem,COMMUNICATION,IFC4x3_ADD2,Table_11,11-44 21,2013-02-08,TBD,1
1AE7F28C-C644-43E7-A0B1-E6D0F5BE657E,urn:caltrans:obj:oil_utility,Oil Utility,"Oil and petroleum pipeline utilities for transportation of crude oil, refined petroleum products, and other liquid hydrocarbons. Includes pipes, valves, pumps, meters, and associated equipment for oil transmission and distribution systems.",Draft,,,IfcDistributionSystem,OIL,IFC4x3_ADD2,Table_11,11-42 27,2013-02-09,TBD,1
50E4B51E-7647-4D95-BDA2-9DE413698A56,urn:caltrans:obj:conduit,Conduit,"Protective pipes or tubes used to enclose and protect electrical cables, fiber optic cables, or telecommunications cables. Includes various materials such as PVC, HDPE, concrete, and steel conduits used in duct banks or direct burial installations.",Draft,Underground Utility - Conduit,,IfcCableCarrierSegment,CONDUITSEGMENT,IFC4x3_ADD2,Table_23,23-35 33 17,2012-05-01,TBD,1
9260A5E5-B18F-44CF-9C57-84229111BD2B,urn:caltrans:obj:pipe,Pipe,"Conveyance pipes for fluids including water, gas, sewer, and oil utilities. Includes various materials such as PVC, ductile iron, cast iron, steel, concrete, and HDPE pipes used for transmission and distribution of liquids and gases.",Draft,Underground Utility - General,,IfcPipeSegment,USERDEFINED,IFC4x3_ADD2,Table_23,23-27 39 00,2012-05-01,TBD,1
2F8C4E91-D762-4A3B-8E5D-1A9B3C7E6F2D,urn:caltrans:obj:flow_control_device,Flow Control Device,"Devices and structures used to regulate, direct, or control the flow of fluids in water, gas, sewer, oil, or drainage utility systems. Includes valves (gate valves, butterfly valves, check valves, pressure regulating valves), gates (sluice gates, flap gates), and other control mechanisms used for flow regulation, system isolation, or backflow prevention.",Draft,Flow Control,,IfcValve,NOTDEFINED,IFC4x3_ADD2,Table_23,23-27 31 00,2012-05-01,TBD,1
7B3E9A45-C1F8-4D26-9A72-5E4D8F6B2C1A,urn:caltrans:obj:underground_access_facility,Underground Access Facility,"Underground structures providing access to utilities for inspection, maintenance, repair, and cleaning operations. Includes manholes (chambers with personnel entry for sewer, drainage, telecommunications, and electric utilities), handholes (small access points for hand access to cables and equipment), vaults (large chambers for major infrastructure and equipment), and cleanouts (access points for sewer and drainage system inspection and cleaning). Sized appropriately for their intended access purpose.",Draft,Underground Access; Underground Utility - Access Points,,IfcDistributionChamberElement,MANHOLE,IFC4x3_ADD2,Table_23,23-17 11 27 23,2012-05-01,TBD,1
