Globally_unique_identifier,Property_key,Names_in_language_N,Definitions_in_language_N,Units,Descriptions_in_language_N,Physical_quantity,Method_of_measurement,Data_type,Dimension_(LMTIÃŽËœNJ),List_of_possible_values_in_language_N,Status,Date_of_creation,Date_of_activation,Date_of_last_change,Date_of_revision,Date_of_version,Date_of_deactivation,Version_number,Revision_number,List_of_replaced_properties,List_of_replacing_properties,Deprecation_explanation,Relation_of_the_property_identifiers_in_the_interconnected_data_dictionaries,Creators_language,Examples_in_language_N,Connected_properties,Groups_of_properties,Symbols_of_the_property_in_a_given_property_group,Visual_representation,Country_of_use,Subdivision_of_use,Country_of_origin,Dynamic_property,Parameters_of_the_dynamic_property,Names_of_defining_values,Defining_values,Tolerance,Digital_format,Text_format,Boundary_values,IR_Property_Alignment
9E87A346-FDE1-44BD-A161-2361F7FE8E27,urn:caltrans:property:underground_utility_type,UndergroundUtilityType | en-EN,Underground Utility Type,unitless,"The subsurface utility type including electric, water, fiber optic, gas, sewer, telecommunications, and oil.",without,N/A,Enumeration,0 0 0 0 0 0 0,"(Electric, en-EN);(Water, en-EN);(Gas, en-EN);(Sewer, en-EN);(Fiber Optic, en-EN);(Telecommunications, en-EN);(Oil, en-EN);(Irrigation, en-EN)",Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(95CA0284-E7E5-4A10-9D97-EDBCD0C1994D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
52ADAE0C-34D5-4B4C-AAA1-5EF0740E1001,urn:caltrans:property:high_priority,HighPriority | en-EN,High Priority,unitless,Is utility a high priority? (Yes/No),without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(95CA0284-E7E5-4A10-9D97-EDBCD0C1994D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
6D0D5D79-CFBA-41BF-BF89-3185240B47C6,urn:caltrans:property:permit_number,PermitNumber | en-EN,Permit Number,unitless,Permit number associated with utility,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(95CA0284-E7E5-4A10-9D97-EDBCD0C1994D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
249E4FE7-3E86-4F06-A553-3CFA28758033,urn:caltrans:property:utility_status,UtilityStatus | en-EN,Utility Status,unitless,"Underground utility status including proposed, abandoned, existing or retired",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(95CA0284-E7E5-4A10-9D97-EDBCD0C1994D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
4D880768-911E-4A96-A0EA-DF0C71DF0A78,urn:caltrans:property:utility_comments,UtilityComments | en-EN,Utility Comments,unitless,Text field for general comments for utility,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(95CA0284-E7E5-4A10-9D97-EDBCD0C1994D),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
3620B72D-A8A6-4040-8D86-2DB3450C38B0,urn:caltrans:property:utility_depth,UtilityDepth | en-EN,Utility Depth,foot,Utility depth from ground to top of utility at positive location identification point,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(B3B8450E-E603-450A-9361-0D833CEA0F7F),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
B3C80751-792E-467E-8897-541931D0C2F4,urn:caltrans:property:pipe_elevation_top,PipeElevationTop | en-EN,Pipe Elevation - Top,foot,Top of pipe elevation at positive location identification point,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(B3B8450E-E603-450A-9361-0D833CEA0F7F),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
AA21117D-9A2D-4FF5-8B76-46FDD7CCCC71,urn:caltrans:property:pipe_elevation_bottom,PipeElevationBottom | en-EN,Pipe Elevation - Bottom,foot,Bottom of pipe elevation at positive location identification point,Length | en-EN,N/A,Real,1 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(B3B8450E-E603-450A-9361-0D833CEA0F7F),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
9CD754A6-E71B-4507-BD47-758F84438F29,urn:caltrans:property:method_of_identification,MethodOfIdentification | en-EN,Method of Identification,unitless,"GPR, Potholing",without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(B3B8450E-E603-450A-9361-0D833CEA0F7F),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
B767CB2D-E089-4711-A74F-86AA1D7430FD,urn:caltrans:property:soil_type,SoilType | en-EN,Soil Type,unitless,Description of soil at positive location identification point,without,N/A,String,0 0 0 0 0 0 0,,Active,2026-04-15,,,N/A,2026-05-13,,1,N/A,,,,,en-EN,,,(B3B8450E-E603-450A-9361-0D833CEA0F7F),,,US,,US,,,,,,,,,"Caltrans Utility Schema and Database; ASCE 38, 75"
