Globally_unique_identifier,Group_key,Names_in_language_N,Definitions_in_language_N,Status,Date_of_creation,Date_of_activation,Date_of_last_change,Date_of_revision,Date_of_version,Date_of_deactivation,Version_number,Revision_number,List_of_replaced_groups_of_properties,List_of_replacing_groups_of_properties,Deprecation_explanation,Relation_of_the_group_of_properties_identifiers_in_the_interconnected_data_dictionaries,Creators_language,Visual_representation,Country_of_use,Subdivision_of_use,Country_of_origin,Category_of_group_of_properties,Parent_group_of_properties
95CA0284-E7E5-4A10-9D97-EDBCD0C1994D,urn:caltrans:propertygroup:general_features,GeneralFeatures | en-EN,General Features,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
B3B8450E-E603-450A-9361-0D833CEA0F7F,urn:caltrans:propertygroup:positive_location,PositiveLocation | en-EN,Positive Location,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
D54F0B4B-1836-488D-9010-4445CCA77D82,urn:caltrans:propertygroup:location_accuracy,LocationAccuracy | en-EN,Location Accuracy,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
440BC8E0-F2BD-4D0F-BCAE-EFDA0961CEE1,urn:caltrans:propertygroup:owner_information,OwnerInformation | en-EN,Owner Information,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
613F694F-22FA-4591-8C5C-CCDAF64410C0,urn:caltrans:propertygroup:casing,Casing | en-EN,Casing,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
4C2EF229-D1E3-48B8-B808-768EABFB3C6E,urn:caltrans:propertygroup:pipe_properties,PipeProperties | en-EN,Pipe Properties,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
CA6A4389-08A9-4FDF-A088-9E792408F59D,urn:caltrans:propertygroup:conduit_installation,ConduitInstallation | en-EN,Conduit Installation,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
F9635D16-CC71-445E-B34D-B5F9A41AE657,urn:caltrans:propertygroup:flow_characteristics,FlowCharacteristics | en-EN,Flow Characteristics,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
EFA4A65D-C80C-4E12-81D2-35D8DC258675,urn:caltrans:propertygroup:electric_utility,ElectricUtility | en-EN,Electric Utility,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
898CA4E0-D657-456F-A3DF-C25E28FD3BB5,urn:caltrans:propertygroup:fiber_optic,FiberOptic | en-EN,Fiber Optic,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
34CD628D-B9C1-4958-B538-9D53EE435863,urn:caltrans:propertygroup:telecommunications,Telecommunications | en-EN,Telecommunications,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
8EB00992-D268-42B1-8D64-26E42E5A1BBC,urn:caltrans:propertygroup:access_points,AccessPoints | en-EN,Access Points,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
29A9027F-2755-4509-8898-AD5C246F5D72,urn:caltrans:propertygroup:identification,Identification | en-EN,Identification Data,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
FBFAF154-66B1-4C0D-9556-A2C3118136AF,urn:caltrans:propertygroup:underground_access_features,UndergroundAccessFeatures | en-EN,Underground Access Features,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
8508A6DE-AB9E-45E6-9D42-AC7051149B26,urn:caltrans:propertygroup:road_system_data,RoadSystemData | en-EN,Road System Data,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
3E7F9A2B-4C8D-4E5F-A1B6-9D3C5E7F8A1B,urn:caltrans:propertygroup:location_point,LocationPoint | en-EN,Location - Point,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
5A8C1D3E-6F9B-4A7C-B2D4-1E4F7A9C2B5D,urn:caltrans:propertygroup:location_linear,LocationLinear | en-EN,Location - Linear,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
7B9D2E4F-8A1C-4D3B-9E5F-3A6C8B1D4E7F,urn:caltrans:propertygroup:location_boundary,LocationBoundary | en-EN,Location - Boundary,Draft,2026-04-15,,N/A,N/A,2026-04-15,,1,N/A,,,,,en-EN,,US,,,Class,
A3F5C2D1-8B4E-4A7F-9C6D-2E1B5F3A8C4D,urn:caltrans:propertygroup:installation_type,InstallationType | en-EN,Installation Type,Draft,2026-05-27,,N/A,N/A,2026-05-27,,1,N/A,,,,,en-EN,,US,,,Class,
7F3DEC76-1347-4D47-9572-86BB071A4F28,urn:caltrans:propertygroup:pay_item,PayItem | en-EN,Pay Item data,Draft,2026-06-09,,N/A,N/A,2026-06-09,,1,N/A,,,,,en-EN,,US,,,Class,
A32042EF-7D84-4441-A769-1A2A6258F32E,urn:caltrans:propertygroup:additional_bid_information,AdditionalBidInformation | en-EN,Additional bid information,Draft,2026-06-09,,N/A,N/A,2026-06-09,,1,N/A,,,,,en-EN,,US,,,Class,
44DCDCE3-A726-4F87-A587-97F7D69B252F,urn:caltrans:propertygroup:asset_condition_details,AssetConditionDetails | en-EN,Asset Condition Details,Draft,2026-06-04,,N/A,N/A,2026-06-04,,1,N/A,,,,,en-EN,,US,,,Class,
